iter	F1	Logloss
0	0.8663725717	0.6170007068
1	0.8576143506	0.5783589043
2	0.8717111551	0.5471620546
3	0.8701905568	0.5044006567
4	0.8766991335	0.476632753
5	0.8750558399	0.4524609094
6	0.8723714087	0.4311622771
7	0.8840361653	0.4153994628
8	0.8803865738	0.4005917367
9	0.8765481267	0.386503138
10	0.883396365	0.3775393836
11	0.8834776784	0.3672244498
12	0.8923235821	0.3626725098
13	0.8889579559	0.357242765
14	0.8918352653	0.3487813064
15	0.8931386329	0.3380444749
16	0.8902609262	0.3325542196
17	0.8901793787	0.3291581297
18	0.8933018217	0.3237713411
19	0.8934650702	0.320551632
20	0.8903424887	0.315447498
21	0.8939551739	0.3111322221
22	0.8968163367	0.3095447532
23	0.8936283784	0.3052736993
24	0.8964077668	0.3031314407
25	0.8999062416	0.2998579234
26	0.8998244325	0.2978862297
27	0.9001517585	0.2960312667
28	0.9008071256	0.291863236
29	0.9010531343	0.2882276667
30	0.9008891135	0.2867868699
31	0.9051960913	0.2830352192
32	0.9051138162	0.2819845478
33	0.9048670804	0.2805363662
34	0.9056900566	0.2778858081
35	0.9066796064	0.2739092208
36	0.9064320163	0.2723857558
37	0.9116439759	0.2674167432
38	0.9115610241	0.2666028228
39	0.9121420036	0.2652798192
40	0.9119759339	0.2623011471
41	0.9122250611	0.2608567828
42	0.9123081338	0.2603898171
43	0.9123081338	0.2596873436
44	0.9128068876	0.2574759601
45	0.9123912216	0.2569698447
46	0.9123912216	0.2556489843
47	0.9133894568	0.2538319401
48	0.9138060331	0.2528338487
49	0.913639357	0.2517216469
50	0.9169365141	0.2498940381
51	0.9169365141	0.2494559957
52	0.9169365141	0.2480660219
53	0.9173538328	0.2464602442
54	0.9171868598	0.2448059601
55	0.9177715316	0.2442468614
56	0.9176879614	0.2435571678
57	0.917855117	0.2423942244
58	0.9177715316	0.2409471696
59	0.9186918092	0.2390324875
60	0.9186080713	0.2382209954
61	0.9186918092	0.2380250674
62	0.9184406414	0.236121641
63	0.9185243488	0.235397914
64	0.9187755623	0.2344150706
65	0.9187755623	0.2332092178
66	0.9190269133	0.2313924353
67	0.9192784019	0.2303481382
68	0.9192784019	0.2300578381
69	0.9191945571	0.2297331532
70	0.9194461375	0.2292327033
71	0.919362262	0.2282997946
72	0.9223110316	0.2268085403
73	0.9224788765	0.2260301663
74	0.9201176922	0.2250206456
75	0.9204538375	0.2238251985
76	0.9205379122	0.2233287874
77	0.9200336942	0.2225571518
78	0.9200336942	0.2223011569
79	0.9199497115	0.2219890207
80	0.9234031165	0.2208325458
81	0.9267572323	0.2198291711
82	0.9270942339	0.2186678711
83	0.9272628266	0.2179618588
84	0.9270099605	0.2172696999
85	0.9301804851	0.2165280803
86	0.9306024111	0.2149712991
87	0.9305179953	0.21395594
88	0.9304335947	0.2134071757
89	0.9307712887	0.212806739
90	0.9340114261	0.2121157764
91	0.9340959824	0.2115533127
92	0.9340959824	0.2113398445
93	0.9340114261	0.210610602
94	0.9337578488	0.2097214105
95	0.9366442348	0.2090781443
96	0.9370670984	0.2078267317
97	0.9370670984	0.2075203851
98	0.937575039	0.2063222392
99	0.937575039	0.2060470337
100	0.937575039	0.2057942394
101	0.9386774681	0.2045441783
102	0.9388473028	0.2037319073
103	0.9389322431	0.203329697
104	0.9389322431	0.2030960538
105	0.9391871565	0.2024462166
106	0.9389322431	0.202043905
107	0.9394422083	0.2005035606
108	0.9402081955	0.1998744108
109	0.9402081955	0.1998125133
110	0.9405490353	0.1992140812
111	0.9405490353	0.1977554772
112	0.9436770636	0.1968104345
113	0.9437623869	0.1954951223
114	0.9441038346	0.1951679564
115	0.9440184496	0.195133709
116	0.9441038346	0.1945807827
117	0.9440184496	0.193848979
118	0.9440184496	0.1935132571
119	0.944701963	0.1928361794
120	0.944701963	0.1918095495
121	0.9447874718	0.190479786
122	0.9447874718	0.1900643782
123	0.9444455295	0.1893327854
124	0.944701963	0.1891224062
125	0.9456434117	0.1878405079
126	0.9456434117	0.1871882403
127	0.945729091	0.1861963502
128	0.9458147858	0.1861886743
129	0.9456434117	0.1855277836
130	0.9463292811	0.1840569234
131	0.9465867387	0.1821634047
132	0.9463292811	0.1811304031
133	0.9465009039	0.1802564577
134	0.9468443364	0.1795026012
135	0.9469302335	0.1790483208
136	0.9467584549	0.1787727697
137	0.9467584549	0.1786772407
138	0.9467584549	0.1785342113
139	0.9469302335	0.1783155583
140	0.9471880182	0.17751538
