iter	Passed	Remaining
0	21	27433
1	44	27691
2	69	28817
3	94	29333
4	115	28861
5	140	29208
6	164	29181
7	187	29195
8	214	29619
9	236	29356
10	259	29256
11	281	29053
12	306	29159
13	329	29128
14	358	29557
15	382	29547
16	407	29582
17	429	29447
18	454	29485
19	478	29444
20	501	29390
21	525	29337
22	552	29496
23	579	29621
24	607	29780
25	635	29941
26	660	29930
27	686	29967
28	710	29954
29	738	30043
30	759	29884
31	781	29774
32	807	29798
33	834	29882
34	860	29905
35	883	29811
36	915	30041
37	942	30080
38	966	30022
39	990	29996
40	1021	30136
41	1055	30373
42	1091	30660
43	1115	30599
44	1148	30777
45	1175	30802
46	1203	30838
47	1233	30911
48	1263	30995
49	1291	31024
50	1318	31026
51	1342	30962
52	1378	31167
53	1414	31350
54	1450	31546
55	1476	31499
56	1496	31349
57	1519	31253
58	1544	31211
59	1570	31174
60	1598	31189
61	1622	31121
62	1651	31147
63	1680	31176
64	1708	31179
65	1734	31133
66	1764	31183
67	1792	31183
68	1821	31210
69	1854	31284
70	1882	31283
71	1911	31292
72	1936	31242
73	1965	31263
74	1991	31227
75	2016	31180
76	2039	31098
77	2065	31063
78	2090	31019
79	2116	30985
80	2142	30951
81	2170	30944
82	2196	30905
83	2222	30882
84	2249	30855
85	2276	30833
86	2301	30796
87	2324	30726
88	2351	30702
89	2375	30647
90	2402	30623
91	2431	30625
92	2460	30639
93	2488	30629
94	2517	30635
95	2546	30636
96	2571	30598
97	2602	30613
98	2628	30581
99	2652	30534
100	2680	30524
101	2707	30501
102	2739	30528
103	2766	30509
104	2792	30477
105	2817	30434
106	2841	30380
107	2871	30385
108	2898	30364
109	2925	30347
110	2954	30340
111	2978	30287
112	3012	30334
113	3037	30298
114	3067	30305
115	3093	30272
116	3131	30347
117	3163	30379
118	3195	30397
119	3220	30356
120	3255	30404
121	3291	30462
122	3326	30507
123	3354	30490
124	3382	30466
125	3409	30441
126	3432	30375
127	3460	30356
128	3487	30330
129	3513	30298
130	3540	30268
131	3568	30253
132	3595	30220
133	3623	30207
134	3652	30193
135	3674	30128
136	3696	30059
137	3725	30048
138	3750	30004
139	3774	29952
140	3797	29891
141	3823	29862
142	3843	29783
143	3865	29717
144	3887	29652
145	3907	29575
146	3926	29486
147	3948	29430
148	3971	29371
149	3992	29307
150	4015	29249
151	4036	29185
152	4058	29126
153	4081	29072
154	4102	29009
155	4122	28938
156	4144	28881
157	4166	28825
158	4193	28797
159	4219	28768
160	4244	28733
161	4270	28709
162	4292	28654
163	4326	28677
164	4351	28643
165	4376	28604
166	4399	28554
167	4421	28505
168	4446	28466
169	4472	28437
170	4497	28404
171	4521	28361
172	4547	28335
173	4576	28329
174	4603	28302
175	4627	28264
176	4656	28255
177	4684	28237
178	4705	28181
179	4730	28145
180	4760	28144
181	4788	28123
182	4818	28119
183	4843	28089
184	4869	28057
185	4895	28028
186	4922	28005
187	4950	27993
188	4978	27976
189	5006	27958
190	5030	27917
191	5054	27881
192	5084	27870
193	5111	27852
194	5144	27858
195	5171	27833
196	5198	27815
197	5221	27771
198	5246	27734
199	5272	27707
200	5297	27671
201	5320	27629
202	5346	27599
203	5375	27591
204	5401	27561
205	5427	27534
206	5453	27503
207	5483	27494
208	5513	27487
209	5536	27443
210	5561	27414
211	5588	27387
212	5615	27367
213	5640	27333
214	5664	27296
215	5690	27267
216	5716	27239
217	5740	27203
218	5765	27167
219	5790	27137
220	5813	27096
221	5843	27083
222	5868	27051
223	5893	27020
224	5924	27014
225	5953	27002
226	5978	26969
227	6007	26955
228	6036	26939
229	6061	26908
230	6084	26865
231	6108	26830
232	6132	26795
233	6155	26750
234	6178	26712
235	6204	26685
236	6229	26651
237	6254	26622
238	6285	26616
239	6309	26578
240	6332	26537
241	6361	26523
242	6387	26494
243	6410	26455
244	6434	26420
245	6461	26397
246	6484	26359
247	6506	26314
248	6529	26276
249	6552	26235
250	6580	26216
251	6607	26193
252	6635	26176
253	6664	26157
254	6691	26135
255	6718	26114
256	6747	26097
257	6776	26081
258	6802	26053
259	6832	26040
260	6858	26014
261	6884	25986
262	6913	25971
263	6942	25956
264	6966	25922
265	6989	25880
266	7010	25835
267	7034	25801
268	7057	25762
269	7080	25727
270	7107	25703
271	7135	25683
272	7160	25651
273	7186	25626
274	7212	25598
275	7238	25569
276	7262	25537
277	7292	25524
278	7318	25495
279	7346	25477
280	7369	25439
281	7397	25418
282	7419	25377
283	7441	25337
284	7465	25304
285	7515	25357
286	7581	25464
287	7618	25474
288	7651	25468
289	7681	25456
290	7703	25415
291	7728	25382
292	7756	25359
293	7782	25334
294	7808	25304
295	7835	25280
296	7863	25258
297	7898	25259
298	7930	25249
299	7959	25230
300	7990	25219
301	8021	25205
302	8049	25185
303	8075	25154
304	8099	25122
305	8123	25087
306	8147	25052
307	8171	25019
308	8194	24980
309	8217	24942
310	8238	24900
311	8260	24859
312	8286	24833
313	8312	24803
314	8337	24774
315	8362	24744
316	8389	24717
317	8424	24717
318	8458	24711
319	8488	24697
320	8520	24686
321	8548	24662
322	8573	24632
